,category,id,price
277,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087542,1052.7
278,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087543,1594.4
279,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087544,1594.4
280,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087545,1594.4
281,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087547,340.9
282,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087548,340.9
283,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087549,340.9
284,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087551,38.1
285,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087552,38.1
286,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087553,38.1
287,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087555,432.6
288,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087556,432.6
289,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000087558,432.6
290,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000114037,1241.2
291,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000114038,432.6
292,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000114039,432.6
293,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000114040,432.6
294,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000114042,152.4
295,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000114043,146.3
296,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000100305,432.6
297,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000096478,1048.6
298,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000096479,1285.4
299,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000096480,2187.7
300,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000118929,142.9
301,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000089041,2166.1
302,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000089042,2166.1
303,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000089043,2032.2
304,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000089044,2166.1
305,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000089045,2166.1
306,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000089046,2166.1
307,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000089047,1048.6
308,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000089048,1285.4
309,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000089049,2187.7
310,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000169074,348.53
311,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000169075,465.03
312,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000169076,687.0
313,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000169077,825.0
314,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000172027,592.11
315,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000172371,651.51
316,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000174701,1414.0
317,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000174699,1018.0
318,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000174700,1223.0
319,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000283829,590.76
320,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000283830,693.62
321,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000283831,867.31
322,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000283832,1007.15
323,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000283834,1239.0
324,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000283827,279.5
325,"Фанера, OSB, QSB, ДВП, Террасная доска, Садовый паркет",С-000283828,387.37
326,"Засыпка сухая, керамзит",С-000014532,142.1
327,"Засыпка сухая, керамзит",С-000051113,199.6
328,"Засыпка сухая, керамзит",С-000248772,160.7
329,Комплектующие для штукатурных фасадов,С-000138525,5.01
330,Комплектующие для штукатурных фасадов,С-000138526,4.3
331,Комплектующие для штукатурных фасадов,С-000138527,5.2
332,Комплектующие для штукатурных фасадов,С-000138485,95.31
333,Комплектующие для штукатурных фасадов,С-000138487,114.3
334,Комплектующие для штукатурных фасадов,С-000138491,154.5
335,Комплектующие для штукатурных фасадов,С-000138492,131.38
336,Комплектующие для штукатурных фасадов,С-000138493,686.55
337,Комплектующие для штукатурных фасадов,С-000138494,611.6
338,Комплектующие для штукатурных фасадов,С-000138497,283.3
339,Комплектующие для штукатурных фасадов,С-000138499,142.9
340,Комплектующие для штукатурных фасадов,С-000139711,489.3
341,Комплектующие для штукатурных фасадов,С-000139712,1030.0
342,Комплектующие для штукатурных фасадов,С-000183984,160.9
343,Комплектующие для штукатурных фасадов,С-000183985,160.9
344,Комплектующие для штукатурных фасадов,С-000183986,160.9
345,Комплектующие для штукатурных фасадов,С-000183987,160.9
346,Комплектующие для штукатурных фасадов,С-000222360,173.8
347,Комплектующие для штукатурных фасадов,С-000138484,73.42
348,Комплектующие для штукатурных фасадов,С-000138502,89.57
349,Комплектующие для штукатурных фасадов,С-000138503,95.1
350,Комплектующие для штукатурных фасадов,С-000138506,49.2
351,Комплектующие для штукатурных фасадов,С-000138508,73.7
352,Комплектующие для штукатурных фасадов,С-000138509,122.89
353,Комплектующие для штукатурных фасадов,С-000138510,611.6
354,Комплектующие для штукатурных фасадов,С-000139713,50.5
355,Комплектующие для штукатурных фасадов,С-000139714,611.6
356,Комплектующие для штукатурных фасадов,С-000138507,49.2
357,Комплектующие для штукатурных фасадов,С-000138505,66.92
358,Комплектующие для штукатурных фасадов,С-000074554,64.2
359,Комплектующие для штукатурных фасадов,С-000230953,93.3
360,Комплектующие для штукатурных фасадов,С-000139763,3892.0
361,Комплектующие для штукатурных фасадов,С-000139835,3595.41
362,Комплектующие для штукатурных фасадов,С-000138512,211.6
363,Комплектующие для штукатурных фасадов,С-000138513,220.8
364,Комплектующие для штукатурных фасадов,С-000138514,225.3
365,Комплектующие для штукатурных фасадов,С-000138515,246.5
366,Комплектующие для штукатурных фасадов,С-000138516,305.8
367,Комплектующие для штукатурных фасадов,С-000138517,379.21
368,Комплектующие для штукатурных фасадов,С-000138518,361.5
369,Комплектующие для штукатурных фасадов,С-000138519,404.2
370,Комплектующие для штукатурных фасадов,С-000138520,510.11
371,Комплектующие для штукатурных фасадов,С-000138521,645.0
372,Кровля,С-000107543,561.35
373,Кровля,С-000107544,561.35
374,Кровля,С-000107545,561.35
375,Кровля,С-000107547,561.37
376,Кровля,С-000107548,561.35
377,Кровля,С-000107549,682.89
378,Кровля,С-000107546,561.35
379,Кровля,С-000111534,641.67
380,Кровля,С-000111535,527.35
381,Кровля,С-000111536,527.35
382,Кровля,С-000111537,527.35
383,Кровля,С-000111538,527.35
384,Кровля,С-000111539,527.35
385,Кровля,С-000111522,496.39
386,Кровля,С-000111523,504.71
387,Кровля,С-000111524,504.71
388,Кровля,С-000111525,610.79
389,Кровля,С-000111526,504.71
390,Кровля,С-000111527,482.22
